omega,k,ReInv,ImInv
0.04,0.0,3.999535022691056,-0.06688114045272284
0.07310344827586207,0.0,4.001722016328803,-0.1459798535152424
0.10620689655172413,0.0,4.006935616502486,-0.21166563938781463
0.13931034482758622,0.0,3.998822361179759,-0.27524056183151074
0.1724137931034483,0.0,3.990766637019063,-0.3394569245706813
0.20551724137931035,0.0,3.997238250673341,-0.42573408000477175
0.23862068965517244,0.0,3.997526238977397,-0.48676248387502846
0.2717241379310345,0.0,4.000740362146639,-0.5453361762709108
0.30482758620689654,0.0,3.9929648387341667,-0.6138082990803017
0.33793103448275863,0.0,4.007328233972708,-0.6689067028915654
0.37103448275862067,0.0,3.9848788373294752,-0.7353119484149153
0.40413793103448276,0.0,3.9823874257792893,-0.8025132032439903
0.43724137931034485,0.0,3.9908630576058193,-0.8772375397738039
0.4703448275862069,0.0,3.987222201030311,-0.9431082168910256
0.503448275862069,0.0,3.9884664727713566,-1.0005557330541537
0.5365517241379311,0.0,3.9936667198788713,-1.0710856904830366
0.5696551724137932,0.0,3.9814236834456156,-1.1381884206218789
0.6027586206896552,0.0,3.978013400151571,-1.2062693551167
0.6358620689655173,0.0,3.9778088178007174,-1.2663273677517375
0.6689655172413793,0.0,3.9888911645255067,-1.3383869318452792
0.7020689655172414,0.0,3.979872386301364,-1.4097027610394879
0.7351724137931035,0.0,3.994425436916117,-1.4666873076401432
0.7682758620689656,0.0,3.9628332246837776,-1.5314977585049583
0.8013793103448277,0.0,3.978110021779052,-1.611319746731137
0.8344827586206898,0.0,3.967006247417472,-1.6758405411022395
0.8675862068965517,0.0,3.9599837593003313,-1.7351023618060804
0.9006896551724138,0.0,3.9612754909004915,-1.7918195770776453
0.9337931034482759,0.0,3.9652542069468266,-1.878696056597214
0.966896551724138,0.0,3.9630955527360627,-1.937975027190357
1.0,0.0,3.954220188215804,-2.002716802001969
0.04,0.8,4.0059984348750985,-0.09226983067126941
0.07310344827586207,0.8,4.004779208882055,-0.13822467687170148
0.10620689655172413,0.8,4.009443328173676,-0.22059941505847594
0.13931034482758622,0.8,4.011488349553993,-0.2791839447337843
0.1724137931034483,0.8,4.009735804427097,-0.3431914506595316
0.20551724137931035,0.8,4.010381508437859,-0.41773679351749765
0.23862068965517244,0.8,4.010439264642932,-0.4746837426252688
0.2717241379310345,0.8,4.010459097124246,-0.5501971927411492
0.30482758620689654,0.8,4.007873927442676,-0.6104267344759667
0.33793103448275863,0.8,3.99564868830671,-0.6739405181639784
0.37103448275862067,0.8,4.009318994904162,-0.743772644252522
0.40413793103448276,0.8,3.999279847233585,-0.8109727306781501
0.43724137931034485,0.8,4.006202726850916,-0.8667794821837715
0.4703448275862069,0.8,3.993144457821205,-0.9320254579389067
0.503448275862069,0.8,3.9916881945285527,-0.9984433711004301
0.5365517241379311,0.8,3.9888916824475054,-1.079946960933596
0.5696551724137932,0.8,3.9982141551882573,-1.1429901597165486
